Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
TUES,14.93,0.84,"339,723","435,211",639.11M,N/A,-1.45,1.3,1.3,0.0,17.00,17.00,17.00,17.00,2
VVTV,6.80,4.02,"206,542","334,264",338.46M,N/A,-0.26,1.6,1.6,0.0,7.13,6.25,10.00,6.00,4
MSBF,8.08,0.19,0,"1,002",39.76M,N/A,-0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GIII,70.20,2.2,"252,600","206,598",1.43B,20.04,3.50,1.9,1.9,0.0,74.50,75.00,80.00,68.00,8
COVR,1.46,0.78,"21,714","20,903",38.51M,N/A,-0.13,1.0,1.0,0.0,1.80,1.80,1.80,1.80,1
MCBK,17.80,N/A,"4,274","4,556",52.56M,N/A,-0.02
ASTI,0.73,2.62,"772,366","582,487",42.89M,N/A,-0.67,3.0,3.0,0.0,1.30,1.30,1.30,1.30,1
ESXB,3.73,1.13,126,"7,560",80.94M,15.67,0.24
ASTM,3.57,N/A,"283,001","122,497",0,0,0,0,0,0,2.8,2.8,0.0,22.25,22.25,40.00,4.50,2
SAL,26.50,0.05,101,"2,132",44.78M,12.86,2.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTC,2.63,1.34,"260,464","516,300",51.25M,22.29,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
